province,value
Gansu,121
Qinghai,10
Guangxi,95
Guizhou,66
Chongqing,31
Beijing,90
Fujian,146
Anhui,310
Guangdong,265
Xizang,12
Xinjiang,9
Hainan,45
Ningxia,17
Shaanxi,250
Shanxi,576
Hubei,285
Hunan,290
Sichuan,78
Yunnan,91
Hebei,555
Henan,495
Liaoning,38
Shandong,570
Tianjin,42
Jiangxi,405
Jiangsu,500
Shanghai,235
Zhejiang,385
Jilin,7
Inner Mongol,11
Heilongjiang,20
