province,value
Gansu,803
Qinghai,29
Guangxi,859
Guizhou,503
Chongqing,403
Beijing,272
Fujian,1275
Anhui,2229
Guangdong,2151
Xizang,89
Xinjiang,3
Hainan,264
Ningxia,81
Shaanxi,1857
Shanxi,3739
Hubei,1460
Hunan,2393
Sichuan,953
Yunnan,950
Hebei,4253
Henan,4117
Liaoning,223
Shandong,4112
Tianjin,181
Jiangxi,2047
Jiangsu,3258
Shanghai,1099
Zhejiang,2870
Jilin,43
Inner Mongol,35
Heilongjiang,39
