province,value
Gansu,110
Qinghai,0
Guangxi,235
Guizhou,35
Chongqing,27
Beijing,97
Fujian,73
Anhui,750
Guangdong,288
Xizang,37
Xinjiang,4
Hainan,35
Ningxia,10
Shaanxi,390
Shanxi,584
Hubei,441
Hunan,295
Sichuan,41
Yunnan,35
Hebei,1594
Henan,1481
Liaoning,41
Shandong,1840
Tianjin,52
Jiangxi,212
Jiangsu,1124
Shanghai,158
Zhejiang,489
Jilin,2
Inner Mongol,3
Heilongjiang,4
