province,value
Gansu,266
Qinghai,16
Guangxi,928
Guizhou,328
Chongqing,338
Beijing,326
Fujian,1680
Anhui,3059
Guangdong,2544
Xizang,59
Xinjiang,12
Hainan,187
Ningxia,54
Shaanxi,922
Shanxi,975
Hubei,2612
Hunan,2062
Sichuan,933
Yunnan,743
Hebei,4460
Henan,3200
Liaoning,254
Shandong,3556
Tianjin,317
Jiangxi,2857
Jiangsu,5522
Shanghai,884
Zhejiang,3304
Jilin,53
Inner Mongol,13
Heilongjiang,57
