province,value
Gansu,533
Qinghai,12
Guangxi,586
Guizhou,221
Chongqing,176
Beijing,123
Fujian,756
Anhui,1242
Guangdong,1213
Xizang,3
Xinjiang,0
Hainan,126
Ningxia,33
Shaanxi,1342
Shanxi,1745
Hubei,895
Hunan,1015
Sichuan,490
Yunnan,306
Hebei,2233
Henan,2005
Liaoning,2502
Shandong,2428
Tianjin,2531
Jiangxi,1358
Jiangsu,1494
Shanghai,300
Zhejiang,1392
Jilin,14
Inner Mongol,29
Heilongjiang,5
