province,value
Gansu,123
Qinghai,8
Guangxi,97
Guizhou,63
Chongqing,29
Beijing,94
Fujian,144
Anhui,315
Guangdong,262
Xizang,14
Xinjiang,10
Hainan,47
Ningxia,18
Shaanxi,253
Shanxi,579
Hubei,282
Hunan,287
Sichuan,80
Yunnan,93
Hebei,558
Henan,497
Liaoning,36
Shandong,569
Tianjin,45
Jiangxi,409
Jiangsu,498
Shanghai,238
Zhejiang,389
Jilin,8
Inner Mongol,12
Heilongjiang,21
