province,value
Gansu,89
Qinghai,4
Guangxi,245
Guizhou,67
Chongqing,57
Beijing,201
Fujian,484
Anhui,321
Guangdong,1397
Xizang,1
Xinjiang,3
Hainan,218
Ningxia,12
Shaanxi,186
Shanxi,381
Hubei,284
Hunan,280
Sichuan,123
Yunnan,114
Hebei,1114
Henan,799
Liaoning,49
Shandong,1193
Tianjin,50
Jiangxi,268
Jiangsu,1189
Shanghai,577
Zhejiang,1057
Jilin,4
Inner Mongol,6
Heilongjiang,2
