province,value
Gansu,773
Qinghai,27
Guangxi,1120
Guizhou,436
Chongqing,440
Beijing,816
Fujian,1757
Anhui,2030
Guangdong,2820
Xizang,70
Xinjiang,19
Hainan,261
Ningxia,63
Shaanxi,1623
Shanxi,2787
Hubei,1614
Hunan,1681
Sichuan,921
Yunnan,881
Hebei,4203
Henan,3176
Liaoning,200
Shandong,4237
Tianjin,168
Jiangxi,2322
Jiangsu,3646
Shanghai,1201
Zhejiang,3391
Jilin,43
Inner Mongol,17
Heilongjiang,24
