province,value
Gansu,0.65
Qinghai,0.04
Guangxi,1.73
Guizhou,0.47
Chongqing,0.42
Beijing,1.43
Fujian,2.49
Anhui,2.32
Guangdong,1.58
Xizang,0.02
Xinjiang,0.03
Hainan,1.55
Ningxia,0.10
Shaanxi,1.34
Shanxi,2.74
Hubei,2.04
Hunan,2.01
Sichuan,0.89
Yunnan,0.83
Hebei,2.56
Henan,2.70
Liaoning,0.36
Shandong,2.53
Tianjin,0.37
Jiangxi,1.91
Jiangsu,1.22
Shanghai,2.12
Zhejiang,2.28
Jilin,0.02
Inner Mongol,0.05
Heilongjiang,0.02
