province,value
Gansu,2.3
Qinghai,2.2
Guangxi,2.1
Guizhou,2.4
Chongqing,2.2
Beijing,2.5
Fujian,2.8
Anhui,5.3
Guangdong,3.4
Xizang,2.2
Xinjiang,2.3
Hainan,2.2
Ningxia,2.1
Shaanxi,2.4
Shanxi,2.5
Hubei,4.2
Hunan,3.2
Sichuan,2.2
Yunnan,2.1
Hebei,7.1
Henan,4.8
Liaoning,2.3
Shandong,6.5
Tianjin,2.4
Jiangxi,4.3
Jiangsu,9.5
Shanghai,2.1
Zhejiang,5.6
Jilin,2.2
Inner Mongol,2.4
Heilongjiang,2.5
