province,value
Gansu,0.64
Qinghai,0.05
Guangxi,1.72
Guizhou,0.46
Chongqing,0.43
Beijing,1.45
Fujian,2.50
Anhui,2.31
Guangdong,2.57
Xizang,0.03
Xinjiang,0.04
Hainan,1.54
Ningxia,0.09
Shaanxi,1.35
Shanxi,2.75
Hubei,2.03
Hunan,2.02
Sichuan,0.90
Yunnan,0.82
Hebei,2.55
Henan,2.71
Liaoning,0.35
Shandong,2.54
Tianjin,0.36
Jiangxi,1.92
Jiangsu,2.23
Shanghai,2.11
Zhejiang,2.29
Jilin,0.03
Inner Mongol,0.04
Heilongjiang,0.03
