province,value
Gansu,1.3
Qinghai,2.1
Guangxi,1.4
Guizhou,1.7
Chongqing,1.5
Beijing,1.3
Fujian,2.3
Anhui,2.5
Guangdong,2.6
Xizang,0.2
Xinjiang,0.1
Hainan,2.3
Ningxia,2.4
Shaanxi,2.3
Shanxi,1.5
Hubei,2.4
Hunan,2.2
Sichuan,1.6
Yunnan,1.2
Hebei,2.5
Henan,2.1
Liaoning,1.8
Shandong,2.6
Tianjin,1.3
Jiangxi,1.5
Jiangsu,2.8
Shanghai,2.2
Zhejiang,2.7
Jilin,1.2
Inner Mongol,0.1
Heilongjiang,0.1
