province,value
Gansu,2.2
Qinghai,1.9
Guangxi,2.4
Guizhou,1.8
Chongqing,2.2
Beijing,1.7
Fujian,1.9
Anhui,3.1
Guangdong,2.3
Xizang,2.0
Xinjiang,1.0
Hainan,2.5
Ningxia,1.1
Shaanxi,3.0
Shanxi,3.2
Hubei,2.0
Hunan,1.7
Sichuan,1.3
Yunnan,2.1
Hebei,4.5
Henan,3.4
Liaoning,5.8
Shandong,5.3
Tianjin,6.5
Jiangxi,3.2
Jiangsu,3.9
Shanghai,2.8
Zhejiang,3.0
Jilin,2.2
Inner Mongol,1.4
Heilongjiang,1.1
