province,value
Gansu,2.3
Qinghai,2.2
Guangxi,2.1
Guizhou,2.4
Chongqing,2.2
Beijing,2.5
Fujian,2.3
Anhui,2.4
Guangdong,2.1
Xizang,2.2
Xinjiang,2.3
Hainan,2.2
Ningxia,2.1
Shaanxi,2.4
Shanxi,3.5
Hubei,2.3
Hunan,2.4
Sichuan,2.2
Yunnan,2.1
Hebei,4.5
Henan,3.3
Liaoning,2.3
Shandong,3.7
Tianjin,2.4
Jiangxi,2.2
Jiangsu,3.2
Shanghai,2.1
Zhejiang,3.3
Jilin,2.2
Inner Mongol,2.4
Heilongjiang,2.5
