province,value
Gansu,0.34
Qinghai,0.00
Guangxi,0.73
Guizhou,0.11
Chongqing,0.08
Beijing,0.30
Fujian,0.23
Anhui,2.32
Guangdong,0.89
Xizang,0.11
Xinjiang,0.01
Hainan,0.11
Ningxia,0.03
Shaanxi,1.21
Shanxi,1.81
Hubei,1.37
Hunan,0.91
Sichuan,0.13
Yunnan,0.11
Hebei,3.44
Henan,3.09
Liaoning,0.13
Shandong,4.0
Tianjin,0.16
Jiangxi,0.66
Jiangsu,3.48
Shanghai,0.49
Zhejiang,1.51
Jilin,0.01
Inner Mongol,0.01
Heilongjiang,0.01
