province,value
Gansu,0.64
Qinghai,0.03
Guangxi,1.75
Guizhou,0.48
Chongqing,0.41
Beijing,1.44
Fujian,2.47
Anhui,2.30
Guangdong,3.60
Xizang,0.01
Xinjiang,0.02
Hainan,1.56
Ningxia,0.09
Shaanxi,1.33
Shanxi,2.73
Hubei,2.03
Hunan,2.00
Sichuan,0.88
Yunnan,0.82
Hebei,3.57
Henan,2.72
Liaoning,0.35
Shandong,3.54
Tianjin,0.36
Jiangxi,1.92
Jiangsu,3.21
Shanghai,3.13
Zhejiang,3.27
Jilin,0.03
Inner Mongol,0.04
Heilongjiang,0.01
